"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"1",69083,749,0,1,0,0,0,1,1,0,0
"2",73409,752,0,0,1,0,0,0,0,0,0
"3",78722,749,0,0,0,0,0,0,0,0,0
"4",176103,759,0,1,1,1,0,0,1,0,0
"5",579281,749,0,1,0,1,0,0,0,0,0
"6",582524,749,1,1,0,0,0,0,0,0,0
"7",583770,749,0,0,0,0,0,1,1,0,0
"8",601932,749,1,0,1,1,0,1,0,0,0
"9",612182,749,1,1,1,1,1,0,1,0,0
"10",614214,750,0,0,1,1,0,1,1,0,0
"11",617269,749,1,1,0,1,0,1,1,0,0
"12",618641,749,1,0,1,0,1,1,1,0,0
"13",618643,749,1,1,1,1,1,1,1,0,0
"14",618644,749,1,0,1,0,0,1,1,0,0
"15",619573,750,1,0,0,0,1,0,0,1,1
"16",619594,749,0,1,1,0,1,1,1,0,0
"17",620443,750,1,1,1,0,0,0,1,1,1
"18",620710,750,0,0,1,1,0,0,0,1,1
"19",621418,749,1,0,1,0,0,1,0,0,0
"20",626314,749,1,0,1,1,0,1,1,0,0
"21",627340,0,0,0,1,0,0,1,1,0,0
"22",627651,749,1,0,1,0,1,0,1,0,0
"23",627922,749,0,1,0,1,0,1,1,0,0
"24",628123,750,1,1,0,0,0,0,1,0,0
"25",628441,750,1,1,0,0,0,0,1,0,0
"26",628501,749,0,1,0,0,0,1,0,0,0
"27",628503,749,0,0,1,1,1,0,1,0,0
"28",628739,749,0,1,1,0,1,0,1,0,0
"29",628849,749,0,1,1,1,1,1,1,0,0
"30",628900,749,1,0,0,0,0,1,1,0,0
"31",629697,749,0,0,0,1,1,0,1,0,0
"32",630466,749,1,1,1,1,1,1,1,0,1
"33",630529,749,1,0,1,0,0,1,1,0,0
"34",631098,749,0,1,0,0,0,1,1,0,0
"35",632273,749,0,1,1,1,1,1,1,0,0
"36",632293,749,1,1,0,0,1,0,1,0,0
"37",632433,749,1,1,1,1,1,1,1,0,0
"38",632442,749,1,0,1,0,1,1,1,0,0
"39",632462,770,1,1,0,0,0,1,1,0,0
"40",632694,0,0,1,1,0,0,1,0,1,1
"41",632706,749,1,1,1,1,1,1,1,0,0
"42",632755,749,1,0,0,1,1,0,1,0,0
"43",632761,749,1,0,1,0,0,1,1,0,0
"44",632770,749,1,0,0,0,0,0,1,0,0
"45",632788,749,1,0,1,1,1,1,1,0,0
"46",632799,750,1,1,1,0,0,1,1,1,0
"47",632800,749,1,0,1,0,1,1,1,0,0
"48",632801,749,1,0,1,0,0,1,1,0,0
"49",632802,749,0,1,1,1,1,1,1,0,0
"50",632866,750,1,1,0,0,0,1,1,1,0
"51",632989,749,1,1,1,0,1,0,1,0,0
"52",632993,750,1,1,0,1,1,0,1,1,1
"53",632995,749,1,1,1,0,0,1,1,0,0
"54",633230,749,1,1,1,0,1,1,1,0,0
"55",633325,749,1,1,1,0,1,1,1,0,0
"56",633335,749,0,1,0,1,1,1,1,0,1
"57",633383,749,1,1,1,1,1,1,1,0,0
"58",633474,749,1,1,0,1,1,0,1,0,0
"59",633624,749,1,1,1,1,1,1,1,0,0
"60",633631,750,0,1,0,0,0,0,1,1,1
"61",633661,750,1,0,0,1,1,1,1,1,1
"62",633665,750,1,1,1,0,1,0,1,1,1
"63",633703,749,0,1,0,0,0,0,1,0,0
"64",633705,749,1,1,0,0,0,0,1,0,0
"65",633760,749,1,1,1,1,1,1,1,0,1
"66",633809,749,1,1,1,0,1,1,1,0,0
"67",633843,750,0,0,0,0,0,1,1,1,1
"68",633860,749,0,0,0,1,0,0,1,0,0
"69",633937,749,1,1,1,1,0,1,1,0,1
"70",633952,749,0,1,0,0,0,1,1,0,1
"71",633984,749,1,1,1,1,1,0,1,0,0
"72",634206,750,1,0,1,0,0,0,0,1,0
"73",634225,749,0,0,1,1,0,1,0,0,0
"74",634244,749,1,1,0,0,0,1,1,0,1
"75",634259,749,1,1,1,1,0,1,1,0,0
"76",634280,750,0,1,0,0,0,0,1,1,0
"77",634283,749,1,0,1,0,0,0,1,0,0
"78",634294,749,1,1,1,0,0,0,1,0,0
"79",634339,749,0,0,1,1,0,0,0,0,0
"80",634431,749,0,0,1,0,0,0,1,0,0
"81",634438,749,1,0,0,0,0,0,1,0,0
"82",634818,750,1,1,1,0,1,1,1,0,0
"83",635085,749,1,1,1,0,0,1,1,0,0
"84",635150,749,1,0,0,1,1,0,1,0,0
"85",635715,749,1,1,0,0,1,1,1,0,0
"86",635734,749,1,1,0,0,0,1,0,0,0
"87",635740,749,1,1,1,0,1,1,1,0,0
"88",635746,749,1,1,1,1,0,1,1,0,0
"89",635769,749,1,1,0,1,0,0,1,1,0
"90",635776,749,0,1,1,1,1,1,1,0,0
"91",635844,750,1,0,0,1,1,0,1,0,0
"92",635859,749,0,0,0,0,1,1,1,0,0
"93",636008,749,1,1,1,1,1,1,1,0,1
"94",636314,749,1,0,0,0,1,0,0,0,0
"95",636469,750,0,1,0,0,0,1,1,0,0
"96",636483,749,0,1,0,0,0,0,0,0,0
"97",636637,749,1,0,1,1,1,0,1,0,0
"98",636656,749,1,1,1,1,1,1,1,0,0
"99",636816,749,1,1,0,0,0,0,0,0,0
"100",636839,750,0,1,0,1,1,1,1,0,0
"101",636890,749,1,0,1,0,0,1,1,0,0
"102",636998,749,0,0,0,1,1,0,1,0,0
"103",637116,750,0,1,1,0,1,1,0,1,1
"104",637280,750,0,0,1,1,0,0,0,1,1
"105",637288,749,0,1,1,0,0,1,1,0,0
"106",637340,749,1,0,0,0,0,0,0,1,0
"107",637354,749,1,0,0,0,0,1,0,0,0
"108",637426,749,1,0,1,0,0,1,0,0,0
"109",637463,750,1,0,1,0,1,1,0,0,0
"110",637502,750,1,1,0,0,0,0,1,0,0
"111",637555,749,1,1,0,0,1,1,1,0,0
"112",637568,749,1,1,0,0,0,0,1,0,0
"113",637735,750,1,1,1,0,0,0,1,0,1
"114",637738,749,1,0,0,0,0,1,0,1,0
"115",637830,749,0,0,1,0,0,1,0,0,0
"116",637963,749,1,0,0,0,0,0,0,1,0
"117",638011,750,1,0,0,0,1,1,1,1,0
"118",638071,749,0,1,1,1,1,0,1,1,1
"119",638090,750,1,0,0,1,0,0,1,1,1
"120",638094,750,1,1,0,1,0,0,1,0,0
"121",638097,749,1,1,0,0,1,0,0,0,0
"122",638138,750,1,0,1,0,0,0,0,1,0
"123",638146,749,1,1,1,0,1,1,0,0,0
"124",638163,750,1,1,0,0,1,1,1,1,0
"125",638224,750,1,0,1,0,0,0,0,1,0
"126",638492,749,0,0,0,1,1,1,1,0,0
"127",638573,749,1,1,0,0,0,1,1,0,0
"128",638629,749,0,0,1,0,0,0,0,0,0
"129",638640,749,1,1,1,0,1,1,1,0,0
"130",638966,0,0,0,0,0,0,0,0,0,0
"131",638995,749,0,0,0,0,1,0,0,0,0
"132",639050,750,1,1,1,0,0,1,0,1,1
"133",639670,749,1,1,0,1,0,0,0,0,0
